date,region,population,google_ads_brand_impressions,google_ads_generic_impressions,display_impressions,facebook_impressions,google_ads_brand_cost,google_ads_generic_cost,facebook_cost,display_cost,conversions,GQV_brand,GQV_generic,revenue_per_conversion
2023-04-24,Dalarna County,286546,70,0,0,272,33.71,0.0,25.22,0.0,0,0.000359804677460807,5.6706759187869444,1000
2024-10-07,Dalarna County,286546,27,106,0,368,24.45,156.83,41.1,0.0,0,0.00046260601387818041,3.38668722693395,1000
2024-11-11,Dalarna County,286546,16,102,0,196,5.76,1136.61,11.58,0.0,0,0.00015420200462606013,3.4224106913389876,1000
2023-12-25,Dalarna County,286546,66,16,0,0,15.97,22.64,0.0,0.0,0,0.00010280133641737343,5.94248265227448,1000
2025-02-17,Dalarna County,286546,26,40,0,26,29.23,193.0,0.73,0.0,0,0.00010280133641737343,4.6717553328193269,1000
2024-03-18,Dalarna County,286546,44,0,0,0,43.77,0.0,0.0,0.0,0,0.00020560267283474686,5.1152916987920847,1000
2024-03-11,Dalarna County,286546,60,0,0,0,117.84,0.0,0.0,0.0,0,0.00041120534566949372,5.1245438190696477,1000
2024-05-20,Dalarna County,286546,18,0,0,0,13.49,0.0,0.0,0.0,0,0.00020560267283474686,4.5846312002056031,1000
2024-08-05,Dalarna County,286546,33,61,0,0,17.38,0.0,0.0,0.0,0,0.00046260601387818041,4.4611667951683369,1000
2024-09-09,Dalarna County,286546,23,97,0,165,0.89,713.9,28.59,0.0,0,0.00015420200462606013,3.6830120791570291,1000
2023-07-31,Dalarna County,286546,99,0,8,0,180.31,0.0,0.0,0.32,0,0.00046260601387818041,6.7582626574145461,1000
2023-04-10,Dalarna County,286546,68,0,0,379,21.06,0.0,32.3,0.0,0,0.00041120534566949372,6.1130300693909021,1000
2024-04-29,Dalarna County,286546,49,0,0,0,37.46,0.0,0.0,0.0,0,0.00015420200462606013,5.01017733230532,1000
2023-06-05,Dalarna County,286546,69,0,0,155,53.22,0.0,12.38,0.0,0,0.000359804677460807,5.6406579285530709,1000
2024-05-06,Dalarna County,286546,48,0,0,0,39.46,0.0,0.0,0.0,0,0.00030840400925212025,5.2585453610896939,1000
2024-02-05,Dalarna County,286546,78,34,0,0,61.35,44.51,0.0,0.0,0,0.00041120534566949372,4.652377280904652,1000
2024-07-15,Dalarna County,286546,3,47,0,0,0.24,56.32,0.0,0.0,0,0.00015420200462606013,4.2989462863017218,1000
2024-11-04,Dalarna County,286546,27,89,0,0,3.92,68.7,0.0,0.0,0,0.00020560267283474686,3.3954767411976357,1000
2023-09-04,Dalarna County,286546,50,0,139,0,30.34,0.0,0.0,9.25,0,0.00056540735029555382,5.1842713955281416,1000
2024-12-30,Dalarna County,286546,25,50,0,0,0.57,165.52,0.0,0.0,0,0.00030840400925212025,5.1041891544590081,1000
2024-04-15,Dalarna County,286546,33,0,0,0,5.14,0.0,0.0,0.0,0,0.00015420200462606013,5.2842970958622466,1000
2024-12-02,Dalarna County,286546,18,98,0,779,2.59,111.55,92.78,0.0,0,0.00025700334104343357,3.2887175533281932,1000
2023-08-07,Dalarna County,286546,65,0,7,0,33.94,0.0,0.0,0.23,0,0.000359804677460807,6.9132356720637365,1000
2024-06-24,Dalarna County,286546,26,50,0,0,6.48,137.51,0.0,0.0,0,0.00010280133641737343,4.6173220251863274,1000
2023-05-29,Dalarna County,286546,60,0,0,1707,80.18,0.0,82.37,0.0,0,0.00046260601387818041,5.5520945772295036,1000
2024-11-25,Dalarna County,286546,35,67,0,868,2.26,233.16,89.54,0.0,0,0.00010280133641737343,3.0588023644307376,1000
2024-01-08,Dalarna County,286546,139,26,0,0,44.13,35.67,0.0,0.0,0,0.000359804677460807,6.0617836031868411,1000
2025-01-27,Dalarna County,286546,22,47,0,1,1.39,40.35,0.07,0.0,0,0.00046260601387818041,3.8449241840143924,1000
2024-07-22,Dalarna County,286546,33,53,0,0,6.21,288.27,0.0,0.0,0,0.00030840400925212025,4.2070932922127984,1000
2024-12-23,Dalarna County,286546,17,89,0,741,15.46,273.76,55.42,0.0,0,0.00015420200462606013,4.4394243125160626,1000
2024-05-13,Dalarna County,286546,25,0,0,0,7.99,0.0,0.0,0.0,0,0.00015420200462606013,4.9248008224106909,1000
2023-07-17,Dalarna County,286546,63,0,2,0,34.15,0.0,0.0,0.08,0,0.00041120534566949372,6.9647391416088409,1000
2023-08-21,Dalarna County,286546,62,0,2,0,62.85,0.0,0.0,0.09,0,0.000359804677460807,5.5649961449498839,1000
2024-03-18,Gavleborg County,284558,42,0,0,0,74.88,0.0,0.0,0.0,0,0.000359804677460807,4.0908763813929578,1000
2024-12-23,Gavleborg County,284558,35,149,0,837,6.91,340.67,72.77,0.0,0,0.00056540735029555382,5.1744024672320741,1000
2024-12-16,Gavleborg County,284558,48,107,0,520,24.13,584.49,75.78,0.0,0,0.0006682086867129273,5.0656386533024929,1000
2023-03-06,Gavleborg County,284558,83,0,0,395,32.11,0.0,29.29,0.0,0,0.000359804677460807,4.3368799794397326,1000
2024-10-14,Gavleborg County,284558,51,143,0,50,48.2,347.81,7.78,0.0,0,0.00061680801850424051,4.5280904651760476,1000
2023-12-04,Gavleborg County,284558,66,207,0,0,31.55,35.82,0.0,0.0,0,0.00046260601387818041,5.2796196350552558,1000
2023-09-04,Gavleborg County,284558,76,0,145,0,67.64,0.0,0.0,10.1,0,0.0006682086867129273,4.570804420457466,1000
2023-12-11,Gavleborg County,284558,68,688,0,0,61.85,69.42,0.0,0.0,0,0.00061680801850424051,4.4160884091493191,1000
2023-09-11,Gavleborg County,284558,52,0,17,0,45.04,0.0,0.0,1.16,0,0.00041120534566949372,4.4806476484194295,1000
2023-06-12,Gavleborg County,284558,44,0,0,84,17.21,0.0,6.5,0.0,0,0.000359804677460807,4.2008224106913392,1000
2024-12-30,Gavleborg County,284558,35,72,0,0,6.86,254.12,0.0,0.0,0,0.00015420200462606013,5.6262657414546391,1000
2024-08-19,Gavleborg County,284558,39,85,0,90,4.71,414.02,22.61,0.0,0,0.00020560267283474686,4.9067591878694419,1000
2024-04-22,Gavleborg County,284558,22,0,0,0,3.45,0.0,0.0,0.0,0,0.00041120534566949372,4.6428681572860446,1000
2024-07-29,Gavleborg County,284558,87,90,0,0,32.46,192.08,0.0,0.0,0,0.000359804677460807,5.3431508609611926,1000
2024-11-11,Gavleborg County,284558,36,181,0,158,10.5,422.33,11.02,0.0,0,0.00051400668208686714,4.6831662811616548,1000
2023-10-09,Gavleborg County,284558,84,0,0,0,92.73,0.0,0.0,0.0,0,0.000719609354921614,4.7820611667951685,1000
2023-07-24,Gavleborg County,284558,52,0,2,0,30.98,0.0,0.0,0.14,0,0.0012850167052171678,4.9383191981495758,1000
2024-05-20,Gavleborg County,284558,18,0,0,0,1.97,0.0,0.0,0.0,0,0.00082241069133898745,4.4435877666409667,1000
2023-11-13,Gavleborg County,284558,46,179,0,0,20.15,70.92,0.0,0.0,0,0.00046260601387818041,4.4847597018761247,1000
2023-06-05,Gavleborg County,284558,48,0,0,153,21.56,0.0,14.14,0.0,0,0.0011308147005911076,4.162683114880493,1000
2023-04-17,Gavleborg County,284558,61,0,0,296,32.9,0.0,22.85,0.0,0,0.000359804677460807,4.2808532510922639,1000
2023-12-25,Gavleborg County,284558,46,22,0,0,22.81,18.83,0.0,0.0,0,0.00030840400925212025,4.6513492675404784,1000
2023-05-29,Gavleborg County,284558,44,0,0,680,28.17,0.0,42.19,0.0,0,0.00056540735029555382,4.4353636597275763,1000
2024-11-04,Gavleborg County,284558,26,181,0,0,4.54,160.82,0.0,0.0,0,0.000359804677460807,4.8499614494988439,1000
2024-04-01,Gavleborg County,284558,32,0,0,0,10.31,0.0,0.0,0.0,0,0.00015420200462606013,4.3071189925469033,1000
2024-07-22,Gavleborg County,284558,20,63,0,0,2.44,123.75,0.0,0.0,0,0.0006682086867129273,5.2888203546646109,1000
2023-08-28,Gavleborg County,284558,81,0,49,0,123.56,0.0,0.0,1.55,0,0.0013364173734258546,4.4056540735029559,1000
2024-01-01,Gavleborg County,284558,64,41,0,24,93.68,108.1,2.56,0.0,0,0.000359804677460807,6.1205859676175791,1000
2024-01-22,Gavleborg County,284558,54,33,0,0,34.42,71.49,0.0,0.0,0,0.00010280133641737343,4.4870213312773064,1000
2024-11-25,Gavleborg County,284558,25,120,0,773,7.08,242.87,95.47,0.0,0,0.00046260601387818041,4.1034695451040868,1000
2024-07-08,Gavleborg County,284558,25,64,0,0,14.24,55.59,0.0,0.0,0,0.00046260601387818041,5.3257260344384481,1000
2024-03-11,Gavleborg County,284558,37,0,0,0,15.28,0.0,0.0,0.0,0,0.00015420200462606013,4.2336160370084812,1000
2024-01-15,Gavleborg County,284558,53,16,0,0,174.07,34.04,0.0,0.0,0,0.00051400668208686714,4.3220765869956308,1000
2024-07-15,Gavleborg County,284558,19,72,0,0,2.63,356.39,0.0,0.0,0,0.00046260601387818041,5.3330249293240808,1000
2025-02-17,Gavleborg County,284558,42,83,0,19,12.28,356.78,0.52,0.0,0,0.00030840400925212025,4.7634027242354149,1000
2023-07-17,Halland County,345074,200,558,120074,139990,101.29,996.39,5236.14,7214.03,0,0.0027756360832690823,6.1864302235929065,1000
2024-07-22,Jonkoping County,370009,46,71,0,0,47.18,269.57,0.0,0.0,0,0.00051400668208686714,4.7810331534309949,1000
2024-10-21,Jonkoping County,370009,54,135,0,956,10.81,349.7,118.21,0.0,0,0.00061680801850424051,4.2779748136725777,1000
2024-01-01,Jonkoping County,370009,116,312,0,32,215.36,591.84,2.49,0.0,0,0.00082241069133898745,6.83407864302236,1000
2024-07-29,Jonkoping County,370009,32,106,0,0,40.04,541.87,0.0,0.0,0,0.00020560267283474686,4.4702133127730663,1000
2023-07-31,Jonkoping County,370009,132,331,409,5,134.91,1115.82,0.28,27.43,0,0.00082241069133898745,5.7718838344898487,1000
2024-11-11,Jonkoping County,370009,29,119,0,182,14.12,826.7,10.28,0.0,0,0.00041120534566949372,4.2507324595219735,1000
2023-07-17,Jonkoping County,370009,78,275,14,0,43.34,946.42,0.0,0.97,0,0.000359804677460807,5.7172449241840146,1000
2024-07-15,Jonkoping County,370009,20,48,0,0,3.65,76.55,0.0,0.0,0,0.00020560267283474686,4.8677974813672575,1000
2024-06-17,Jonkoping County,370009,21,96,0,207,31.57,362.76,20.9,0.0,0,0.00046260601387818041,4.8083783089180159,1000
2023-09-04,Jonkoping County,370009,87,443,141,5,44.06,811.59,0.15,9.26,0,0.00087381135954767413,5.4279619635055258,1000
2023-05-01,Jonkoping County,370009,77,426,0,495,81.46,553.47,45.44,0.0,0,0.00056540735029555382,5.70017990233873,1000
2024-12-23,Jonkoping County,370009,40,119,0,943,141.41,280.38,89.41,0.0,0,0.00051400668208686714,4.1601644821382679,1000
2024-12-30,Jonkoping County,370009,33,64,0,0,6.52,899.86,0.0,0.0,0,0.00020560267283474686,4.4736057568748393,1000
2024-03-25,Jonkoping County,370009,36,324,0,0,17.19,552.58,0.0,0.0,0,0.00046260601387818041,5.0704703161141094,1000
2024-03-18,Jonkoping County,370009,45,316,0,0,26.72,401.46,0.0,0.0,0,0.00051400668208686714,4.8043176561295295,1000
2024-07-01,Kalmar County,246352,26,40,0,0,3.96,83.69,0.0,0.0,0,5.1400668208686716e-05,3.5677203803649449,1000
2024-08-26,Kalmar County,246352,21,40,0,29,4.21,167.06,8.29,0.0,0,0.00020560267283474686,2.9755332819326652,1000
2024-02-19,Kalmar County,246352,46,18,0,0,188.75,56.61,0.0,0.0,0,0.00010280133641737343,2.8373168851195065,1000
2024-09-23,Kalmar County,246352,27,41,0,23,4.6,0.0,4.6,0.0,0,0.00030840400925212025,2.74638910305834,1000
2024-08-19,Kalmar County,246352,24,42,0,47,3.24,29.34,14.4,0.0,0,0.000359804677460807,3.2584425597532767,1000
2023-07-24,Kalmar County,246352,74,0,11,0,19.98,0.0,0.0,0.82,0,0.000359804677460807,6.0985864816242614,1000
2024-07-29,Kalmar County,246352,36,31,0,0,5.25,134.6,0.0,0.0,0,0.00030840400925212025,3.5444358776664098,1000
2023-03-27,Kalmar County,246352,43,0,0,216,27.6,0.0,20.84,0.0,0,0.00015420200462606013,3.65792855307119,1000
2023-08-07,Kalmar County,246352,68,0,5,0,43.2,0.0,0.0,0.27,0,0.0006682086867129273,4.8990490876381392,1000
2024-01-29,Kalmar County,246352,43,23,0,0,65.11,53.0,0.0,0.0,0,0.00015420200462606013,3.3097404266255461,1000
2024-11-11,Kalmar County,246352,20,78,0,114,10.35,421.26,7.57,0.0,0,0.00025700334104343357,2.5363145720894371,1000
2023-11-06,Kalmar County,246352,44,668,0,0,13.53,21.66,0.0,0.0,0,0.00025700334104343357,3.2792084297095863,1000
2024-10-21,Kalmar County,246352,25,81,0,542,2.75,0.0,55.73,0.0,0,0.00041120534566949372,2.5740940632228217,1000
2023-05-29,Kalmar County,246352,52,0,0,1761,120.43,0.0,95.34,0.0,0,0.00025700334104343357,4.1420200462606012,1000
2023-12-25,Kalmar County,246352,70,21,0,0,50.01,46.44,0.0,0.0,0,0.00015420200462606013,3.1867386276021588,1000
2024-10-28,Kalmar County,246352,17,53,0,185,0.95,181.31,13.39,0.0,0,0.00030840400925212025,2.6980724749421743,1000
2024-03-11,Kalmar County,246352,19,0,0,0,25.3,0.0,0.0,0.0,0,0.00030840400925212025,2.7940375224877925,1000
2023-04-03,Kalmar County,246352,78,0,0,261,50.53,0.0,25.84,0.0,0,0.00041120534566949372,4.1282960678488818,1000
2024-12-30,Kalmar County,246352,21,44,0,0,4.86,115.27,0.0,0.0,0,0.000359804677460807,2.6884091493189413,1000
2023-05-15,Kalmar County,246352,51,3,0,148,18.53,0.4,17.99,0.0,0,0.000359804677460807,4.2742225648933436,1000
2023-08-28,Kalmar County,246352,83,0,36,0,177.99,0.0,0.0,1.08,0,0.000359804677460807,3.7891030583397582,1000
