date,region,population,google_ads_brand_impressions,google_ads_generic_impressions,display_impressions,facebook_impressions,google_ads_brand_cost,google_ads_generic_cost,facebook_cost,display_cost,conversions
2023-03-06,Vastra Gotaland County,1772821,9660,13966,366724,220944,7727.59,28708.95,24089.01,7158.54,20
2023-03-06,Vastmanland County,281158,46,0,0,238,1.9,0.0,18.52,0.0,1
2023-03-06,Vasternorrland County,241458,54,0,0,262,32.75,0.0,21.32,0.0,1
2023-03-06,Vasterbotten County,281138,59,0,0,265,43.36,0.0,21.75,0.0,1
2023-03-06,Varmland County,283384,98,1111,0,490,26.49,898.06,46.55,0.0,0
2023-03-06,Uppsala County,407912,59,0,0,468,54.59,0.0,41.99,0.0,4
2023-03-06,Stockholm County,2473307,911,0,0,2340,561.38,0.0,236.57,0.0,7
2023-03-06,Sodermanland County,301542,46,0,0,285,59.69,0.0,33.49,0.0,3
2023-03-06,Skane County,1428626,464,0,0,1809,164.23,0.0,157.66,0.0,5
2023-03-06,Ostergotland County,472446,104,1490,0,562,84.87,1585.24,51.17,0.0,1
2023-03-06,Orebro County,308375,95,956,0,444,51.86,525.78,41.95,0.0,2
2023-03-06,Norrbotten County,248620,32,0,0,247,107.72,0.0,19.27,0.0,0
2023-03-06,Kronoberg County,203351,83,0,0,260,24.05,0.0,18.55,0.0,2
2023-03-06,Kalmar County,246352,60,0,0,370,15.53,0.0,38.1,0.0,0
2023-03-06,Jonkoping County,370009,88,1427,0,607,399.92,1243.32,46.65,0.0,1
2023-03-06,Jamtland County,132839,31,0,0,111,11.74,0.0,8.97,0.0,1
2023-03-06,Halland County,345074,350,1565,197169,143929,104.14,1500.2,14901.6,5348.45,2
2023-03-06,Gotland County,60971,14,0,0,84,4.85,0.0,6.91,0.0,0
2023-03-06,Gavleborg County,284558,83,0,0,395,32.11,0.0,29.29,0.0,0
2023-03-06,Dalarna County,286546,63,0,0,308,20.79,0.0,24.53,0.0,1
2023-03-06,Blekinge County,157223,36,0,0,161,128.86,0.0,17.78,0.0,1
2023-03-13,Vastra Gotaland County,1772821,8338,15028,313916,177859,7886.6,36242.61,18870.82,6786.16,18
2023-03-13,Vastmanland County,281158,41,0,0,260,33.28,0.0,20.46,0.0,2
2023-03-13,Vasternorrland County,241458,34,0,0,275,9.18,0.0,20.3,0.0,1
2023-03-13,Vasterbotten County,281138,39,0,0,340,42.77,0.0,27.85,0.0,0
2023-03-13,Varmland County,283384,70,1293,0,568,46.13,1902.44,48.53,0.0,1
2023-03-13,Uppsala County,407912,55,0,0,425,72.9,0.0,35.87,0.0,2
2023-03-13,Stockholm County,2473307,837,0,0,2474,936.44,0.0,259.8,0.0,5
2023-03-13,Sodermanland County,301542,59,0,0,334,105.2,0.0,43.64,0.0,0
2023-03-13,Skane County,1428626,326,0,0,1845,527.99,0.0,165.62,0.0,8
2023-03-13,Ostergotland County,472446,70,1650,0,457,15.04,1694.21,42.44,0.0,2
2023-03-13,Orebro County,308375,69,1154,0,504,125.85,1416.22,52.26,0.0,3
2023-03-13,Norrbotten County,248620,22,0,0,322,6.7,0.0,25.49,0.0,1
2023-03-13,Kronoberg County,203351,62,0,0,345,66.09,0.0,25.82,0.0,1
2023-03-13,Kalmar County,246352,55,0,0,252,27.32,0.0,22.67,0.0,0
2023-03-13,Jonkoping County,370009,93,1765,0,507,286.76,2188.14,36.48,0.0,2
2023-03-13,Jamtland County,132839,23,0,0,148,1.2,0.0,8.35,0.0,1
2023-03-13,Halland County,345074,235,1652,185231,128696,66.06,2260.04,12876.35,4965.74,6
2023-03-13,Gotland County,60971,15,0,0,96,7.96,0.0,7.71,0.0,1
2023-03-13,Gavleborg County,284558,52,0,0,386,100.71,0.0,26.76,0.0,3
2023-03-13,Dalarna County,286546,55,0,0,364,14.83,0.0,27.81,0.0,3
2023-03-13,Blekinge County,157223,43,0,0,223,17.77,0.0,27.6,0.0,0
