date,region,population,google_ads_brand_impressions,google_ads_generic_impressions,display_impressions,facebook_impressions,google_ads_brand_cost,google_ads_generic_cost,facebook_cost,display_cost,conversions,GQV_brand,GQV_generic
2024-02-12,Blekinge County,157223,28,21,0,0,77.95,0.0,0.0,0.0,0,,
2023-05-15,Blekinge County,157223,10,1,0,121,6.81,0.07,10.7,0.0,0,,
2023-12-04,Blekinge County,157223,22,135,0,0,11.25,73.65,0.0,0.0,0,,
2023-12-25,Blekinge County,157223,45,17,0,0,92.57,58.82,0.0,0.0,0,,
2023-12-18,Blekinge County,157223,17,201,0,0,17.79,15.12,0.0,0.0,0,,
2024-03-18,Blekinge County,157223,24,0,0,0,16.91,0.0,0.0,0.0,0,,
2023-03-27,Blekinge County,157223,22,0,0,172,11.5,0.0,13.96,0.0,0,,
2023-06-12,Blekinge County,157223,21,0,0,37,18.22,0.0,2.43,0.0,0,,
2023-03-20,Blekinge County,157223,26,0,0,224,1.45,0.0,21.16,0.0,0,,
2024-05-20,Blekinge County,157223,8,0,0,0,2.18,0.0,0.0,0.0,0,,
2024-04-22,Blekinge County,157223,13,0,0,0,5.05,0.0,0.0,0.0,0,,
2025-02-10,Blekinge County,157223,28,33,0,10,4.33,389.72,0.42,0.0,0,,
2023-06-26,Blekinge County,157223,33,0,3,0,26.59,0.0,0.0,0.11,0,,
2024-02-05,Blekinge County,157223,20,13,0,0,10.4,0.0,0.0,0.0,0,,
2023-03-13,Blekinge County,157223,43,0,0,223,17.77,0.0,27.6,0.0,0,,
2023-10-23,Blekinge County,157223,30,0,0,0,13.75,0.0,0.0,0.0,0,,
2023-07-17,Blekinge County,157223,21,0,4,0,13.43,0.0,0.0,0.33,0,,
2023-08-21,Blekinge County,157223,33,0,2,0,37.91,0.0,0.0,0.09,0,,
2024-06-03,Blekinge County,157223,12,43,0,0,1.81,462.28,0.0,0.0,0,,
2024-10-14,Blekinge County,157223,13,37,0,19,28.7,0.0,1.84,0.0,0,,
2024-10-28,Blekinge County,157223,15,42,0,119,1.38,74.92,11.84,0.0,0,,
2024-07-29,Blekinge County,157223,7,30,0,0,0.95,0.0,0.0,0.0,0,,
2024-09-23,Blekinge County,157223,17,42,0,11,4.4,404.59,1.84,0.0,0,,
2024-09-16,Blekinge County,157223,17,31,0,66,2.11,10.66,18.33,0.0,0,,
2024-12-23,Blekinge County,157223,21,57,0,308,6.17,33.79,26.31,0.0,0,,
2024-09-02,Blekinge County,157223,17,49,0,151,1.6,463.62,13.85,0.0,0,,
