date,region,population,google_ads_impressions,display_impressions,facebook_impressions,google_ads_cost,facebook_cost,display_cost,conversions
2023-03-06,Vastra Gotaland County,1772821,23626,366724,220944,36436.54,24089.01,7158.54,20
2023-03-06,Vastmanland County,281158,46,0,238,1.9,18.52,0.0,1
2023-03-06,Vasternorrland County,241458,54,0,262,32.75,21.32,0.0,1
2023-03-06,Vasterbotten County,281138,59,0,265,43.36,21.75,0.0,1
2023-03-06,Uppsala County,407912,59,0,468,54.59,41.99,0.0,4
2023-03-06,Stockholm County,2473307,911,0,2340,561.38,236.57,0.0,7
2023-03-06,Sodermanland County,301542,46,0,285,59.69,33.49,0.0,3
2023-03-06,Skane County,1428626,464,0,1809,164.23,157.66,0.0,5
2023-03-06,Ostergotland County,472446,1594,0,562,1670.11,51.17,0.0,1
2023-03-06,Orebro County,308375,1051,0,444,577.64,41.95,0.0,2
2023-03-06,Kronoberg County,203351,83,0,260,24.05,18.55,0.0,2
2023-03-06,Jonkoping County,370009,1515,0,607,1643.24,46.65,0.0,1
2023-03-06,Jamtland County,132839,31,0,111,11.74,8.97,0.0,1
2023-03-06,Halland County,345074,1915,197169,143929,1604.34,14901.6,5348.45,2
2023-03-06,Dalarna County,286546,63,0,308,20.79,24.53,0.0,1
2023-03-06,Blekinge County,157223,36,0,161,128.86,17.78,0.0,1
2023-03-13,Vastra Gotaland County,1772821,23366,313916,177859,44129.21,18870.82,6786.16,18
2023-03-13,Vastmanland County,281158,41,0,260,33.28,20.46,0.0,2
2023-03-13,Vasternorrland County,241458,34,0,275,9.18,20.3,0.0,1
2023-03-13,Varmland County,283384,1363,0,568,1948.57,48.53,0.0,1
2023-03-13,Uppsala County,407912,55,0,425,72.9,35.87,0.0,2
2023-03-13,Stockholm County,2473307,837,0,2474,936.44,259.8,0.0,5
2023-03-13,Skane County,1428626,326,0,1845,527.99,165.62,0.0,8
2023-03-13,Ostergotland County,472446,1720,0,457,1709.25,42.44,0.0,2
2023-03-13,Orebro County,308375,1223,0,504,1542.07,52.26,0.0,3
2023-03-13,Norrbotten County,248620,22,0,322,6.7,25.49,0.0,1
2023-03-13,Kronoberg County,203351,62,0,345,66.09,25.82,0.0,1
2023-03-13,Jonkoping County,370009,1858,0,507,2474.9,36.48,0.0,2
2023-03-13,Jamtland County,132839,23,0,148,1.2,8.35,0.0,1
2023-03-13,Halland County,345074,1887,185231,128696,2326.1,12876.35,4965.74,6
2023-03-13,Gotland County,60971,15,0,96,7.96,7.71,0.0,1
2023-03-13,Gavleborg County,284558,52,0,386,100.71,26.76,0.0,3
2023-03-13,Dalarna County,286546,55,0,364,14.83,27.81,0.0,3
2023-03-20,Vastra Gotaland County,1772821,20500,297886,164710,39083.37,19414.38,6497.26,16
2023-03-20,Vastmanland County,281158,51,0,263,205.6,24.43,0.0,1
2023-03-20,Vasternorrland County,241458,20,0,231,1.89,19.31,0.0,2
2023-03-20,Vasterbotten County,281138,22,0,326,47.62,28.53,0.0,1
2023-03-20,Varmland County,283384,1230,0,453,1131.04,40.01,0.0,2
2023-03-20,Uppsala County,407912,80,0,439,298.17,42.98,0.0,3
2023-03-20,Stockholm County,2473307,794,0,2246,1055.52,245.09,0.0,7
2023-03-20,Sodermanland County,301542,32,0,303,1.22,30.18,0.0,3
2023-03-20,Skane County,1428626,310,0,1720,294.5,179.59,0.0,9
2023-03-20,Ostergotland County,472446,1635,0,452,2183.69,36.74,0.0,2
2023-03-20,Orebro County,308375,1139,0,388,1140.66,43.66,0.0,2
2023-03-20,Kronoberg County,203351,44,0,192,36.27,14.16,0.0,2
2023-03-20,Kalmar County,246352,60,0,196,230.91,35.14,0.0,1
2023-03-20,Jonkoping County,370009,1758,0,461,2049.27,47.48,0.0,1
2023-03-20,Jamtland County,132839,20,0,146,98.04,14.02,0.0,1
2023-03-20,Halland County,345074,1789,154476,122136,2698.52,13300.0,4361.42,2
2023-03-20,Gavleborg County,284558,51,0,273,65.61,24.5,0.0,1
2023-03-20,Dalarna County,286546,36,0,301,28.65,24.76,0.0,2
2023-03-27,Vastra Gotaland County,1772821,22333,258315,195891,44643.08,20980.17,6867.97,22
2023-03-27,Vastmanland County,281158,55,0,295,16.92,45.58,0.0,2
2023-03-27,Vasternorrland County,241458,33,0,229,12.23,21.12,0.0,1
2023-03-27,Varmland County,283384,1314,0,396,1167.45,31.71,0.0,2
2023-03-27,Uppsala County,407912,60,0,343,11.91,28.56,0.0,1
2023-03-27,Stockholm County,2473307,824,0,2009,737.11,192.67,0.0,4
2023-03-27,Sodermanland County,301542,43,0,300,15.57,30.02,0.0,1
2023-03-27,Skane County,1428626,359,0,1681,331.85,149.39,0.0,9
2023-03-27,Orebro County,308375,1096,0,396,1148.84,44.04,0.0,2
2023-03-27,Jonkoping County,370009,1576,0,432,1722.46,40.78,0.0,1
2023-03-27,Halland County,345074,1879,146301,132313,3008.53,13756.77,4666.89,4
2023-03-27,Gavleborg County,284558,53,0,257,25.98,19.16,0.0,1
2023-03-27,Dalarna County,286546,68,0,327,13.67,26.72,0.0,1
2023-04-03,Vastra Gotaland County,1772821,20127,482164,204578,39392.92,20733.81,10496.06,22
2023-04-03,Vastmanland County,281158,46,0,224,11.73,17.39,0.0,1
2023-04-03,Vasternorrland County,241458,38,0,222,25.14,19.21,0.0,1
2023-04-03,Varmland County,283384,1106,0,454,1300.13,38.16,0.0,1
2023-04-03,Uppsala County,407912,52,0,352,21.81,33.72,0.0,1
2023-04-03,Stockholm County,2473307,789,0,2094,766.76,215.06,0.0,8
2023-04-03,Skane County,1428626,371,0,1589,204.36,156.04,0.0,7
2023-04-03,Orebro County,308375,999,0,377,936.15,45.75,0.0,2
2023-04-03,Norrbotten County,248620,20,0,193,62.11,18.26,0.0,1
2023-04-03,Kronoberg County,203351,56,0,276,17.67,22.73,0.0,2
2023-04-03,Jonkoping County,370009,1320,0,520,1335.53,48.17,0.0,3
2023-04-03,Halland County,345074,1760,259755,134569,2842.39,13087.69,7745.03,3
2023-04-03,Gotland County,60971,10,0,49,45.61,5.58,0.0,1
2023-04-03,Gavleborg County,284558,60,0,364,51.96,28.01,0.0,1
2023-04-03,Dalarna County,286546,92,0,314,19.5,31.16,0.0,1
2023-04-03,Blekinge County,157223,44,0,240,39.88,22.89,0.0,2
2023-04-10,Vastra Gotaland County,1772821,18104,557206,181924,44365.93,18325.7,10178.03,19
2023-04-10,Vastmanland County,281158,36,0,255,19.12,31.8,0.0,1
2023-04-10,Uppsala County,407912,54,0,386,44.83,39.17,0.0,3
2023-04-10,Stockholm County,2473307,702,0,2289,845.84,246.34,0.0,1
2023-04-10,Sodermanland County,301542,53,0,352,163.01,36.89,0.0,1
2023-04-10,Skane County,1428626,332,0,1846,224.2,160.85,0.0,3
2023-04-10,Orebro County,308375,934,0,425,1818.51,50.27,0.0,2
2023-04-10,Kronoberg County,203351,60,0,293,102.79,25.7,0.0,1
2023-04-10,Kalmar County,246352,78,0,275,39.9,27.24,0.0,2
2023-04-10,Jonkoping County,370009,1284,0,512,1446.67,42.17,0.0,1
2023-04-10,Jamtland County,132839,17,0,89,123.43,7.39,0.0,2
2023-04-10,Halland County,345074,1522,279406,146683,2831.87,13192.86,7294.59,2
2023-04-10,Gavleborg County,284558,52,0,386,65.02,27.41,0.0,3
2023-04-10,Blekinge County,157223,38,0,184,165.92,15.57,0.0,2
2023-04-17,Vastra Gotaland County,1772821,16305,503763,158878,25386.12,17419.62,9402.49,19
2023-04-17,Vasternorrland County,241458,43,0,327,31.46,30.57,0.0,1
2023-04-17,Vasterbotten County,281138,40,0,270,19.58,23.62,0.0,2
2023-04-17,Varmland County,283384,654,0,411,498.33,33.89,0.0,1
2023-04-17,Uppsala County,407912,80,0,416,23.51,32.37,0.0,1
2023-04-17,Stockholm County,2473307,868,0,2293,516.97,272.21,0.0,9
2023-04-17,Skane County,1428626,345,0,1707,440.74,166.33,0.0,3
2023-04-17,Orebro County,308375,544,0,349,488.58,54.54,0.0,1
2023-04-17,Kronoberg County,203351,59,0,284,59.38,18.7,0.0,2
2023-04-17,Kalmar County,246352,63,0,198,20.55,23.08,0.0,1
2023-04-17,Jonkoping County,370009,865,0,426,507.82,45.92,0.0,1
2023-04-17,Jamtland County,132839,24,0,74,35.61,5.19,0.0,1
2023-04-17,Halland County,345074,1211,245175,113601,1539.1,12509.54,6639.96,4
2023-04-17,Dalarna County,286546,63,0,334,42.38,26.28,0.0,1
2023-04-17,Blekinge County,157223,35,0,128,9.48,16.64,0.0,1
2023-04-24,Vastra Gotaland County,1772821,16282,401472,99098,24246.51,11031.9,7829.73,23
2023-04-24,Vastmanland County,281158,35,0,205,13.67,18.77,0.0,1
2023-04-24,Vasternorrland County,241458,30,0,211,19.37,17.18,0.0,2
2023-04-24,Uppsala County,407912,58,0,469,18.53,48.08,0.0,2
